gers_id,target_id,label,confidence,reasoning,labeler,dataset,labeled_at
34cd2f65-1728-46b4-8c83-c4757fb81696,us_usfs_lolo_231300_88289812b3,match,0.85,Blue segment overlaps and follows same path as southern portion of longer red segment - subsegment match with consistent geometry,claude_opus_geometry_only,us_usfs_lolo,
396a8160-006f-4c4a-9f23-b484e844b69d,us_usfs_lolo_284715_8828989a45,match,0.95,Blue and red lines follow identical winding path throughout entire length with only minor GPS offset - same physical road feature,claude_opus_geometry_only,us_usfs_lolo,
3b2a86bf-a415-4f77-b461-32f28679cadf,us_usfs_lolo_4374641_8828981937,match,0.85,Blue segment overlaps eastern portion of longer red segment following same winding path along Albert Lothrop Road,claude_opus_geometry_only,us_usfs_lolo,
496122e6-2dfd-4c3a-a83a-ffe1e26157b9,us_usfs_lolo_91568_882898d6c7,match,0.95,Blue and red lines follow the same winding path along Lower Pack Creek Road with nearly complete overlap and minor digitization offset,claude_opus_geometry_only,us_usfs_lolo,
4a25c07e-8eed-432a-828f-e2540d3450b0,us_usfs_lolo_302152_8828983805,match,0.85,Blue and red segments follow same path along upper portion with minor offset; blue extends further southwest but shared section clearly overlaps same physical road,claude_opus_geometry_only,us_usfs_lolo,
4f9d51e4-e0d1-44b7-81d3-4a3c7000a6fe,us_usfs_lolo_236851_8828980521,match,0.85,Blue segment overlaps start of much longer red segment following same path with minimal offset,claude_opus_geometry_only,us_usfs_lolo,
52618739-f5f8-4615-905e-bdb2ac2f2ffa,us_usfs_lolo_244477_882898c4c9,match,0.85,Blue reference segment (242m) overlaps with portion of longer red target segment (7834m) - same road path with subsegment relationship,claude_opus_geometry_only,us_usfs_lolo,
52840aa8-acd7-4277-9869-93e4c3f35c5a,us_usfs_lolo_4401347_88289876c3,match,0.85,Red segment overlaps central portion of blue segment following same winding path with minimal offset - target is subsegment of longer reference road,claude_opus_geometry_only,us_usfs_lolo,
57780376-c36c-4d74-bd2c-4fb0d5012350,us_usfs_lolo_72393_8828984641,match,0.9,Red segment closely follows a portion of the blue segment with minimal offset - clear subsegment overlap on same physical road,claude_opus_geometry_only,us_usfs_lolo,
5c2ee44d-6776-430b-b911-cd10eded87d5,us_usfs_lolo_13407_8828980295,match,0.85,Blue and red segments follow the same path with red (target) being a subsegment of the longer blue (reference) line - both track same road with minimal offset,claude_opus_geometry_only,us_usfs_lolo,
5c2ee44d-6776-430b-b911-cd10eded87d5,us_usfs_lolo_304302_8828980295,match,0.85,Blue and red segments follow same curved path with small offset consistent with digitization error - red is longer but blue overlaps a subsection of the same physical road,claude_opus_geometry_only,us_usfs_lolo,
5fa3815c-2e5f-4d07-9225-b608541ea81f,us_usfs_lolo_4377244_882898c659,match,0.85,Blue segment overlaps portion of red loop road following same path with small offset,claude_opus_geometry_only,us_usfs_lolo,
68cab8ca-37f1-4899-95c0-6010764169e7,us_usfs_lolo_4372603_8828980b11,match,0.85,Blue and red segments follow the same path from upper-left to center with minimal offset; red extends slightly south while blue extends east but main portions overlap along same physical road,claude_opus_geometry_only,us_usfs_lolo,
6f69b688-0b4c-44e8-ad08-c6edb597f7cb,us_usfs_lolo_133912_8828988937,match,0.85,Blue and red segments share a substantial overlapping portion in the upper right area where they follow the same winding mountain road path; red extends further south but the shared section clearly represents the same physical feature,claude_opus_geometry_only,us_usfs_lolo,
6f69b688-0b4c-44e8-ad08-c6edb597f7cb,us_usfs_lolo_4342489_8828981045,match,0.85,Blue segment overlaps and follows same path as portion of longer red segment in southeast area - subsegment match of same road feature,claude_opus_geometry_only,us_usfs_lolo,
72ab5968-c0ae-47da-88fa-6b6b06fea474,us_usfs_lolo_253312_882898d6d1,match,0.85,Blue segment overlaps well with portion of red segment following same path - red extends much further but shared section follows identical route,claude_opus_geometry_only,us_usfs_lolo,
735d85a7-3de6-4da9-bbf2-48490bad90ef,us_usfs_lolo_4362901_8828982a33,match,0.85,Both segments trace the same loop road path with close alignment and small digitization offset throughout,claude_opus_geometry_only,us_usfs_lolo,
7bdc177f-6cac-4cfd-ae00-97c98ff46251,us_usfs_lolo_4394214_882898da51,match,0.85,Blue segment overlaps and follows the same path as a portion of the longer red loop road - subsegment match with consistent heading,claude_opus_geometry_only,us_usfs_lolo,
7beb3f96-63aa-4f48-a568-4e7830718478,us_usfs_lolo_6595_882898091d,match,0.85,Red segment overlaps with portion of blue segment along same path - red follows the southern section of the curved blue line with good alignment indicating same physical road feature,claude_opus_geometry_only,us_usfs_lolo,
88cb7fbd-5cf0-488d-9641-24049a507ad0,us_usfs_lolo_89514_8828984619,match,0.85,Blue and red lines follow the same winding path through most of their length with only minor digitization offsets - both represent the same track/road feature,claude_opus_geometry_only,us_usfs_lolo,
90167351-e285-4fb2-ae81-34be9c2b9127,us_usfs_lolo_213597_8828980cc1,match,0.95,Blue and red segments follow identical winding path with near-perfect overlap along entire length; same road with minor digitization offset,claude_opus_geometry_only,us_usfs_lolo,
9280b8af-27c0-4e25-888b-0ca62eadeddc,us_usfs_lolo_274008_8828984653,match,0.9,Blue and red segments follow same path with red being a subsegment of the longer blue line - clear overlap along shared portion with minor digitization offset,claude_opus_geometry_only,us_usfs_lolo,
9a98820f-0698-4ee5-bacf-ebf908ca0a17,us_usfs_lolo_4345266_882898c659,match,0.75,Blue segment is very short (13.7m) and sits directly on the red segment path near the loop portion indicating a subsegment match,claude_opus_geometry_only,us_usfs_lolo,
9f8fb789-29e7-442a-9e2b-1f3af20cfabf,us_usfs_lolo_4379924_882898d5d7,no_match,0.85,Reference segment (14.5m) is not visible in image - only long red target line shown with no blue reference visible suggesting extreme length mismatch with no detectable overlap,claude_opus_geometry_only,us_usfs_lolo,
a0ab3a45-897a-4af4-92b9-7f31cd4688ab,us_usfs_lolo_316603_882898c5ad,match,0.85,Short blue reference segment overlaps with portion of longer red target segment on same road path - both track/unclassified road classes are compatible and geometry aligns well despite large length difference,claude_opus_geometry_only,us_usfs_lolo,
a4a8411f-339b-4ac7-a096-adacf91ef583,us_usfs_lolo_5115_88289801bd,match,0.95,Blue and red segments follow nearly identical winding path along Sheridan Ridge road with only minor digitization offset; same feature type (track/unclassified both road classes) and similar names,claude_opus_geometry_only,us_usfs_lolo,
a6de5cd0-ca1a-4010-b4dd-75f1779d2a4e,us_usfs_lolo_99755_8828984093,match,0.85,Red segment overlaps northern portion of blue segment following same curved path with small offset typical of digitization error,claude_opus_geometry_only,us_usfs_lolo,
a77b891e-e56f-400e-8e80-3986c80dbf24,us_usfs_lolo_94942_8828980c5d,no_match,0.85,Red target has multiple branches extending southwest that blue reference does not follow; geometries only partially overlap in upper section while diverging significantly elsewhere indicating different road networks,claude_opus_geometry_only,us_usfs_lolo,
b71e5fc8-1d61-4be7-959a-837a3aed34d3,us_usfs_lolo_309546_882898c451,match,0.95,Blue and red lines follow the same winding path with minor digitization offset - same forest road/track,claude_opus_geometry_only,us_usfs_lolo,
b73730b4-1915-4dd9-9d23-c32ad777cad6,us_usfs_lolo_288383_88289846eb,match,0.85,Blue segment overlaps directly on portion of longer red segment at right end - same physical road path with subsegment match,claude_opus_geometry_only,us_usfs_lolo,
b9ed88ed-64d2-49e6-a4fc-9274442a58b2,us_usfs_lolo_4377244_882898c659,match,0.75,Short blue reference segment overlaps with a small portion of the much longer red target loop road - subsegment match with the segments sharing the same physical path where they overlap,claude_opus_geometry_only,us_usfs_lolo,
bc783ae3-569a-4659-a9fa-0eab8b132f83,us_usfs_lolo_4368869_8828980559,match,0.95,Blue and red lines follow the same winding path with only minor digitization offset - same physical road despite different names,claude_opus_geometry_only,us_usfs_lolo,
c1ac7a5b-1bdb-4404-b742-badb2f84ba54,us_usfs_lolo_4354001_88289ea481,match,0.9,Blue segment overlaps with western portion of longer red segment along same path - subsegment match,claude_opus_geometry_only,us_usfs_lolo,
c29c1dd1-4d83-461b-afb7-ab64c9faf79e,us_usfs_lolo_4370860_882898c547,match,0.85,Blue segment overlaps directly on red segment path - short reference segment is subsegment of longer target road (campground loop),claude_opus_geometry_only,us_usfs_lolo,
c4f6177c-993a-4012-a229-020796ce863f,us_usfs_lolo_4377244_882898c659,match,0.85,Blue segment is a very short subsegment that lies directly on the red road - the blue vertices align with a small portion of the longer red loop road,claude_opus_geometry_only,us_usfs_lolo,
c79bec16-2c9c-4430-825a-c1e289651d3e,us_usfs_lolo_4347640_8828980507,match,0.85,Blue segment is a small portion of the larger red campground loop road - both represent Loop A with the blue being a short subsegment that overlaps the red path,claude_opus_geometry_only,us_usfs_lolo,
c854516b-2cb9-4e93-a7a8-4dbcbc9b96f7,us_usfs_lolo_249734_8828980b15,match,0.95,Blue and red lines follow the same winding path with near-complete overlap and only minor digitization offset typical of GPS error,claude_opus_geometry_only,us_usfs_lolo,
c865c4d2-5b80-44fb-8aaf-c42ec3333ff5,us_usfs_lolo_264281_8828982369,match,0.85,Blue segment is very short (12m) and aligns with the western end of the longer red segment (291m) - appears to be a subsegment match where both follow the same road path,claude_opus_geometry_only,us_usfs_lolo,
d1fb2c8c-d946-49d0-81f9-db7da6a86a8a,us_usfs_lolo_277573_88289818db,no_match,0.85,Blue and red segments run parallel but offset - different physical paths with red curving distinctly separate from blue on left side,claude_opus_geometry_only,us_usfs_lolo,
d3b00af0-a254-4b5b-97fe-d3bff4569429,us_usfs_lolo_244477_882898c4c9,match,0.85,Blue segment (small ~160m track) overlaps with portion of longer red segment (7.8km road) in upper left area where both lines follow same path with minimal offset,claude_opus_geometry_only,us_usfs_lolo,
ed95bf1e-fbac-4bae-b3d8-5cf276205bb6,us_usfs_lolo_4375434_8828989a87,match,0.95,Red segment follows same winding path as portion of longer blue road with tight overlap indicating same physical feature,claude_opus_geometry_only,us_usfs_lolo,
f067728b-2f09-4427-91a3-9d08774df09e,us_usfs_lolo_4350702_8828987209,match,0.85,Blue segment overlaps and follows same path as portion of longer red segment - classic subsegment match with track/unclassified road types both representing unpaved roads,claude_opus_geometry_only,us_usfs_lolo,
f067728b-2f09-4427-91a3-9d08774df09e,us_usfs_lolo_4358466_8828987205,match,0.85,Blue and red segments follow the same curving path with the red segment extending further northeast - clear subsegment overlap of same road feature,claude_opus_geometry_only,us_usfs_lolo,
f3d39087-753b-4f56-9749-7ddcce7d4f7f,us_usfs_lolo_6595_882898091d,no_match,0.85,Blue segment has loop/spur at bottom while red continues straight - geometries diverge significantly in lower portion indicating different physical features,claude_opus_geometry_only,us_usfs_lolo,
f40826e7-cd23-4467-8ca5-9a1172294865,us_usfs_lolo_204601_882898558d,match,0.85,Red segment overlaps portion of blue segment along same path with minor digitization offset - subsegment match of same road,claude_opus_geometry_only,us_usfs_lolo,
fc370fe3-8d70-4f63-9010-d6b4b1d230d2,us_usfs_lolo_229960_882898d5a9,match,0.85,Blue segment overlaps with portion of longer red segment along same winding road path - subsegment match with consistent alignment,claude_opus_geometry_only,us_usfs_lolo,
3738c609-9b15-4e3d-a14e-0ed7a80282dc,us_usfs_lolo_4370860_882898c547,no_match,0.85,Blue segment is tiny (~33m) while red is a long loop (~557m) - the blue appears to be a small segment that only touches a tiny portion of the much larger campground road network with no meaningful overlap along the same path,claude_opus_geometry_only,us_usfs_lolo,2026-02-01T12:59:04.364418+00:00
